Hisseler,Unnamed: 1,Son,Değişim Yüzde,Hacim (TL),Saat,stock
SDTTR SDT UZAY VE SAVUNMA,,23220,656,"761.950.185,10",15:51,SDTTR
SEGMN SEGMEN KARDESLER GIDA,,2614,-210,"72.723.528,94",15:51,SEGMN
SEGYO SEKER GMYO,,491,-20,"27.617.879,32",15:51,SEGYO
SEKFK SEKER FIN. KIR.,,883,91,"5.207.261,52",15:51,SEKFK
SELGD DUNYA HOLDING,,8615,147,"12.223.568,70",15:51,SELGD
SERNT SERANIT GRANIT SERAMIK,,1134,125,"159.108.215,44",15:51,SERNT
SEYKM SEYITLER KIMYA,,771,145,"17.690.883,27",15:50,SEYKM
SISE SISE CAM,,4008,204,"1.545.222.298,64",15:51,SISE
SKBNK SEKERBANK,,750,-40,"394.047.097,50",15:51,SKBNK
SKTAS SOKTAS,,339,59,"72.824.353,71",15:51,SKTAS
SKYLP SKYALP FINANSAL TEKNOLOJILER,,13680,-44,"27.276.985,70",15:51,SKYLP
SKYMD SEKER YATIRIM,,1559,123,"83.598.667,66",15:51,SKYMD
SMRVA SUMER VARLIK YONETIM,,27175,65,"296.487.899,25",15:51,SMRVA
SNKRN SENKRON SIBER GUVENLIK YAZILIM,,23470,-59,"4.598.218,20",13:55,SNKRN
SNPAM SONMEZ PAMUKLU,,2470,292,"1.925.457,70",13:55,SNPAM
SODSN SODAS SODYUM SANAYII,,12500,425,"1.835.415,00",13:55,SODSN
SOKM SOK MARKETLER TICARET,,3744,92,"214.889.199,46",15:51,SOKM
SONME SONMEZ FILAMENT,,13970,1000,"25.695.709,80",15:47,SONME
SUMAS SUMAS SUNI TAHTA,,31500,-156,"1.466.247,50",13:55,SUMAS
SURGY SUR TATIL EVLERI GMYO,,4780,4,"87.246.762,42",15:51,SURGY
TABGD TAB GIDA,,23470,30,"112.213.312,60",15:51,TABGD
TARKM TARKIM BITKI KORUMA,,42900,41,"71.122.919,25",15:51,TARKM
TATEN TATLIPINAR ENERJI URETIM,,5920,94,"59.110.170,65",15:51,TATEN
TATGD TAT GIDA,,1352,135,"51.147.062,87",15:51,TATGD
TAVHL TAV HAVALIMANLARI,,24590,153,"474.286.293,70",15:51,TAVHL
TBORG T.TUBORG,,17780,-11,"55.021.524,60",15:51,TBORG
TCELL TURKCELL,,9830,134,"1.520.491.968,85",15:51,TCELL
TCKRC KIRAC GALVANIZ,,5495,368,"106.559.858,75",15:51,TCKRC
TEKTU TEK-ART TURIZM,,1827,-578,"824.125.402,87",15:51,TEKTU
